"Designator","Footprint","Quantity","Value","LCSC Part #"
"C1, C2, C9",402,3,"390pF","C527008"
"C10",805,1,"10u","C15850"
"C13",402,1,"1nF","C106205"
"C14, C15, C16, C17, C6, C7, C8",402,7,"100nF","C5182432"
"C3, C4, C5",603,3,"1uF","C15849"
"D1, D4","D_SMA",2,"SMAJ22A","C20883289"
"D2",1206,1,"XINGLIGHT XL-3216SURC-FB","C3646938"
"D3",1206,1,"EKINGLUX E6CC1206VGAC1UDA","C375564"
"D5",1206,1,"EKINGLUX E6CC1206QBAC","C375563"
"D6",603,1,"Lite-on LTST-C193KRKT-5A","C157741"
"J1","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",1,"USB_C_Receptacle_USB2.0_16P","C2894897"
"J2","PinHeader_2x02_P2.54mm_Vertical",1,"Breadboard PWR 1","C492419"
"J3","PinHeader_2x02_P2.54mm_Vertical",1,"Breadboard PWR 2","C492419"
"J4","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",1,"Terminal_01x02_pwr","C5188434"
"Q1","SOT-23",1,"2302V","C7431443"
"R1, R19, R4",603,3,"2k","C22975"
"R10",603,1,"36k","C23147"
"R11, R15",603,2,"680k","C25822"
"R12, R13, R14, R17, R20, R22, R23, R3, R8",603,9,"10k","C25804"
"R16",603,1,"220k","C22961"
"R18, R26",603,2,"1k","C21190"
"R2, R21, R25, R5",603,4,"5.1k","C23186"
"R24",603,1,"20k","C4184"
"R27, R32, R33, R34",603,4,"6.65k","C60344"
"R28, R29, R30, R31",603,4,"3.32k","C22995"
"R6, R7, R9",603,3,"100k","C25803"
"SW1","SMD_DPDT_5.8x5.8mm",1,"Latching_DPDT","C2941005"
"SW2, SW4","SW_DP5T_Slide_Vertical_19.5x6.6mm_P2.00mm",2,"SW_Slide_DP5T","C609838"
"SW3","SPDT Slide Switch SMD 3P_2.5Pitch",1,"SW_SPDT","C2875122"
"SW5","SW_DIP_SPSTx06_Slide_6.7x16.8mm_W8.61mm_P2.54mm_LowProfile",1,"SW_DIP_x06","C5439765"
"U1","QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm",1,"CYPD3177-24LQ","C5904158"
"U2","VQFN10_RPW_TEX",1,"TPS259470LRPWR","C3662793"
